"name","department","max_participants","min_members","max_members"
"Senso Twist","Fysteria",150,1,1
"Food Monopoly","Fysteria",70,2,2
"Food Innover","Fysteria",70,2,2
"The Brand Quiz","Fysteria",70,2,2
"Final Destination 4.0","Incognito",2000,1,2
"Break the Circuit","Eclectika",45,2,3
"Find IT Fix IT","Incognito",40,2,2
"Witropower","Eclectika",45,2,3
"Free-Way","Machinovate",70,1,2
"Code-Less","Incognito",45,2,2
"Clash Of Coders","Incognito",40,2,2
"Make My Tech-Trick ","Eclectika",40,3,4
"Tech Trithlon","Machinovate",45,2,4
"Mech Arena","Machinovate",100,2,3
"Pitscrew Reloaded","Autozinios",35,5,5
"Cad Creator","Machinovate",180,1,1
"Robo-Car Race","Autozinios",35,1,4
"Electro Maniac","Eclectika",50,2,4
"Arrowstotle","Machinovate",150,2,2
"Engine Quest","Autozinios",40,4,4
"Circuit Chakravyu","Electrofiere",35,1,2
"Auto Hunt","Autozinios",80,2,2
"Dec-O-Gates","Electrofiere",40,1,2
"Clonecode","Electrofiere",30,1,2
"Encode-Recode","Electrofiere",30,1,2
"City Makers","Sthapatya",45,1,3
"SeismiC Tower","Sthapatya",50,1,3
"WastraSOL","Sthapatya",60,2,3
"Wonder Wall","Sthapatya",50,1,4
"C.U.B.G.: Coder's Unknown Battle Grounds","Technocrats",50,1,2
"E-pirates 2.0","Technocrats",40,2,2
"Code Charades","Technocrats",30,2,2
"Crack and code","Technocrats",50,1,1
"Hurdles & Twisters","Inferno",70,2,2
"Futsal","Inferno",30,7,8
"Glow Cricket","Inferno",100,4,6
"Magic for Muggles","Inferno",100,2,2
"Lan Gaming","Inferno",70,1,5
"The Usual Suspects","Inferno",65,2,2
"Wolf of Wall Street 2.0","Inferno",200,1,1
"Bomb Squad","Inferno",100,2,2
"Executioner","Inferno",60,1,1
"Insanely Speculator","Tycoon",50,2,4
"In It To Win It","Tycoon",45,2,4
"ACUMEN","Tycoon",100,1,1
"Workshop On Material Testing","Workshop",50,1,1
"Workshop on Seismic Hazard Assessment","Workshop",75,1,1
"Workshop on Green Building","Workshop",75,1,1
"Workshop On VFX Programming","Workshop",40,1,1
"Workshop On Game Development with Unity","Workshop",60,1,1
"Workshop On IOT","Workshop",40,1,1
"Engineers' Got Talent ","Inferno",50,1,4
"Winter CodeSprint","Interdepartmental",1000,1,1
"Castle of Troy","Interdepartmental",100,1,3